Bulbasaur, 1, grass, poison, | —, —, 7, 13, 20, 27, 34, 41, 48, TM03, TM06, TM08, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Tackle, Growl, Leech Seed, Vine Whip, Poison Powder, Razor Leaf, Growth, Sleep Powder, Solar Beam, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 16, 32, | Bulbasaur, Ivysaur, Venusaur, | , , , 
Kabutops, 141, rock, water, | —, —, —, 34, 39, 46, 53, TM02, TM03, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM19, TM20, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM01, HM03, | Scratch, Harden, Absorb, Absorb, Slash, Leer, Hydro Pump, Razor Wind, Swords Dance, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Seismic Toss, Rage, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Cut, Surf, | 1, 40, | Kabuto, Kabutops, | , , 
Aerodactyl, 142, rock, flying, | —, —, 33, 38, 45, 54, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM23, TM31, TM32, TM33, TM34, TM38, TM39, TM43, TM44, TM50, HM02, | Wing Attack, Agility, Supersonic, Bite, Take Down, Hyper Beam, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Dragon Rage, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Sky Attack, Rest, Substitute, Fly, | 1, | Aerodactyl, | , 
Snorlax, 143, normal, , | —, —, —, 35, 41, 48, 56, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM26, TM27, TM29, TM31, TM32, TM33, TM34, TM35, TM36, TM38, TM40, TM44, TM46, TM48, TM50, HM03, HM04, | Headbutt, Amnesia, Rest, Body Slam, Harden, Double-Edge, Hyper Beam, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Earthquake, Fissure, Psychic, Mimic, Double Team, Reflect, Bide, Metronome, Self-Destruct, Fire Blast, Skull Bash, Rest, Psywave, Rock Slide, Substitute, Surf, Strength, | 1, | Snorlax, | , 
Articuno, 144, ice, flying, | —, —, 51, 55, 60, TM02, TM04, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM31, TM32, TM33, TM34, TM39, TM43, TM44, TM50, HM02, | Peck, Ice Beam, Blizzard, Agility, Mist, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Mimic, Double Team, Reflect, Bide, Swift, Sky Attack, Rest, Substitute, Fly, | 1, | Articuno, | , 
Zapdos, 145, electric, flying, | —, —, 51, 55, 60, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM39, TM43, TM44, TM45, TM50, HM02, HM05, | Thunder Shock, Drill Peck, Thunder, Agility, Light Screen, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Swift, Sky Attack, Rest, Thunder Wave, Substitute, Fly, Flash, | 1, | Zapdos, | , 
Moltres, 146, fire, flying, | —, —, 51, 55, 60, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM31, TM32, TM33, TM34, TM38, TM39, TM43, TM44, TM50, HM02, | Peck, Fire Spin, Leer, Agility, Sky Attack, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Sky Attack, Rest, Substitute, Fly, | 1, | Moltres, | , 
Dratini, 147, dragon, , | —, —, 10, 20, 30, 40, 50, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM23, TM24, TM25, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM45, TM50, HM03, | Wrap, Leer, Thunder Wave, Agility, Slam, Dragon Rage, Hyper Beam, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Dragon Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Thunder Wave, Substitute, Surf, | 1, 30, 55, | Dratini, Dragonair, Dragonite, | , , , 
Dragonair, 148, dragon, , | —, —, —, 10, 20, 35, 45, 55, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM23, TM24, TM25, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM45, TM50, HM03, | Wrap, Leer, Thunder Wave, Thunder Wave, Agility, Slam, Dragon Rage, Hyper Beam, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Dragon Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Thunder Wave, Substitute, Surf, | 1, 30, 55, | Dratini, Dragonair, Dragonite, | , , , 
Dragonite, 149, dragon, flying, | —, —, —, —, 10, 20, 35, 45, 60, TM02, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM23, TM24, TM25, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM45, TM50, HM03, HM04, | Wrap, Thunder Wave, Leer, Agility, Thunder Wave, Agility, Slam, Dragon Rage, Hyper Beam, Razor Wind, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Dragon Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Thunder Wave, Substitute, Surf, Strength, | 1, 30, 55, | Dratini, Dragonair, Dragonite, | , , , 
Mewtwo, 150, psychic, , | —, —, —, —, 63, 66, 70, 75, 81, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM36, TM38, TM40, TM44, TM45, TM46, TM49, TM50, HM04, HM05, | Confusion, Disable, Swift, Psychic, Barrier, Psychic, Recover, Mist, Amnesia, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Self-Destruct, Fire Blast, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Strength, Flash, | 1, | Mewtwo, | , 
Mew, 151, psychic, , | —, 10, 20, 30, 40, TM01, TM02, TM03, TM04, TM05, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM21, TM22, TM23, TM24, TM25, TM26, TM27, TM28, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM36, TM37, TM38, TM39, TM40, TM41, TM42, TM43, TM44, TM45, TM46, TM47, TM48, TM49, TM50, HM01, HM02, HM03, HM04, HM05, | Pound, Transform, Mega Punch, Metronome, Psychic, Mega Punch, Razor Wind, Swords Dance, Whirlwind, Mega Kick, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Mega Drain, Solar Beam, Dragon Rage, Thunderbolt, Thunder, Earthquake, Fissure, Dig, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Self-Destruct, Egg Bomb, Fire Blast, Swift, Skull Bash, Soft-Boiled, Dream Eater, Sky Attack, Rest, Thunder Wave, Psywave, Explosion, Rock Slide, Tri Attack, Substitute, Cut, Fly, Surf, Strength, Flash, | 1, | Mew, | , 
